"Intake24 food code","English description","Local description","Source locale","FCT","FCT record ID","Sub group code","Energy (kcal) (kcal)","Energy (kJ) (kJ)","Water (g)","Total nitrogen (g)","Nitrogen conversion factor (g)","Protein (g)","Carbohydrate (g)","Englyst fibre (g)","Alcohol (g)","Starch (g)","Total sugars (g)","Non-milk extrinsic sugars (g)","Intrinsic and milk sugars (g)","Glucose (g)","Fructose (g)","Sucrose (g)","Maltose (g)","Lactose (g)","Other sugars (UK) (g)","Fat (g)","Satd FA (g)","Cis-Mon FA (g)","Cis-n3 FA (g)","Cis-n6 FA (g)","Trans FA (g)","Cholesterol (g)","Retinol (g)","Total carotene (g)","Alpha-carotene (g)","Beta-carotene (g)","Beta cryptoxanthin (g)","Vitamin A (g)","Vitamin D (g)","Thiamin (g)","Riboflavin (g)","Niacin (g)","Tryptophan/60 (g)","Niacin equivalent (g)","Vitamin C (g)","Vitamin E (g)","Vitamin B6 (g)","Vitamin B12 (g)","Folate (g)","Pantothenic acid (g)","Biotin (g)","Sodium (g)","Potassium (g)","Calcium (g)","Magnesium (g)","Phosphorus (g)","Iron (g)","Haem iron (g)","Non-haem iron (g)","Copper (g)","Zinc (g)","Chloride (g)","Iodine (g)","Manganese (g)","Selenium (g)","AOAC (g)","FS Table sugar (g)","FS Other Added Sugar (g)","FS Honey (g)","FS Fruit Juice (g)","FS Dried Fruit (g)","FS Fruit Puree (g)","FS Stewed Fruit (g)","FS Vegetable Puree (g)","Total FS (g)","Fruit (g)","Dried fruit (g)","Fruit juice (g)","Smoothie fruit (g)","Tomatoes (g)","Tomato puree (g)","Brassicaceae (g)","Yellow Red Green (g)","Beans (g)","Nuts (g)","Other Vegetables (g)","Beef (g)","Lamb (g)","Pork (g)","Processed Red Meat (g)","Other Red Meat (g)","Burgers (g)","Sausages (g)","Offal (g)","Poultry (g)","Processed Poultry (g)","Game Birds (g)","White Fish (g)","Oily Fish (g)","Canned Tuna (g)","Shellfish (g)","Cottage Cheese (g)","Cheddar Cheese (g)","Other Cheese (g)"
"197UPFRL","7 Up free / light","7 Up free / light","UK_V2_2022","UK_NDB_1","8445","58B","2.0","6.0","99.5","0.0","6.25","0.0","0.4","0.0","0.0","0.0","0.4","0.4","0.0","0.0","0.2","0.2","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","94.0","0.0","94.0","0.0","16.0","0.0","0.0","0.0","0.0","0.0","0.0","7.0","0.0","0.0","0.0","1.0","0.0","0.0","4.0","27.0","7.0","7.0","2.0","0.0","0.0","0.0","0.0","0.0","3.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.4","0.0","0.0","0.0","0.0","0.4","0.0","0.0","6.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"19ABSAS","Apple and blackcurrant squash / juice, with ADDED SUGAR, diluted","Apple and blackcurrant squash / juice, with ADDED SUGAR, diluted","UK_V2_2022","UK_NDB_1","11581","57A","9.0","39.0","96.7","0.0","6.25","0.0","2.5","0.0","0.0","0.0","2.5","2.5","0.0","1.0","0.9","0.3","0.2","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","38.0","0.0","38.0","0.0","6.0","0.0","0.0","0.0","0.0","0.0","0.0","0.6","0.0","0.0","0.0","0.0","0.0","0.0","6.0","3.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2.3","0.0","0.0","0.2","0.0","0.0","0.0","0.0","2.5","0.0","0.0","3.7","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"19ACCA","Ackee, canned","Ackee, canned","UK_V2_2022","UK_NDB_1","1651","40D","151.0","625.0","76.7","0.5","6.25","2.9","0.8","1.7","0.0","0.0","0.8","0.0","0.8","0.1","0.0","0.7","0.0","0.0","0.0","15.2","3.2","9.45","0.0","1.74","0.0","0.0","0.0","16.0","4.0","14.0","0.0","3.0","0.0","0.03","0.07","0.6","0.5","1.1","30.0","2.5","0.1","0.0","41.0","1.1","4.0","240.0","270.0","35.0","40.0","47.0","0.7","0.0","0.7","0.27","0.6","340.0","0.0","0.2","1.0","2.3","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"19ADBE","Aduki beans","Aduki beans","UK_V2_2022","UK_NDB_1","8826","37I","123.0","525.0","59.4","1.5","6.25","9.3","22.5","5.5","0.0","20.8","1.7","0.0","1.7","0.0","0.0","0.3","0.1","0.0","1.2","0.2","0.06","0.01","0.04","0.05","0.0","0.0","0.0","6.0","0.0","6.0","0.0","1.0","0.0","0.14","0.08","0.9","1.5","2.4","0.0","0.1","0.1","0.0","210.0","0.3","7.0","2.0","570.0","39.0","60.0","180.0","1.9","0.0","1.9","0.51","2.3","1.0","1.0","0.8","1.0","7.3","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"19ADD3CA","Adcal D3, calcium (600mg) with vitamin D (10ug), tablet (including effervescent)","Adcal D3, calcium (600mg) with vitamin D (10ug), including effervescent","UK_V2_2022","UK_NDB_1","10097","54F","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","10.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","600.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"19AMACPO","Amino acid powder, scoop (5g)","Amino acid powder, scoop (5g)","UK_V2_2022","UK_NDB_1","3401","54K","20.0","85.0","0.0","0.8","6.25","5.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"19ANFAEG","Animal fat (e.g. beef dripping, chicken fat)","Animal fat (e.g. beef dripping, chicken fat)","UK_V2_2022","UK_NDB_1","858","20C","891.0","3663.0","1.0","0.0","6.25","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","99.0","40.6","42.99","0.51","8.88","0.0","93.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","2.0","1.0","1.0","1.0","3.0","0.1","0.0","0.1","0.02","0.0","4.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"19APCH","Apple chutney","Apple chutney","UK_V2_2022","UK_NDB_1","2417","50R","190.0","810.0","47.7","0.1","6.25","0.9","49.2","1.3","0.0","0.1","49.1","45.4","3.7","4.3","5.7","38.4","0.0","0.0","0.7","0.2","0.0","0.0","0.0","0.14","0.0","0.0","0.0","11.0","0.0","7.0","7.0","2.0","0.0","0.05","0.01","0.3","0.2","0.5","5.0","0.2","0.1","0.0","4.0","0.0","1.0","166.0","186.0","20.0","9.0","23.0","0.8","0.0","0.8","0.1","0.2","263.0","1.0","0.11","1.0","1.7","26.4","12.4","0.0","0.0","2.3","0.0","7.3","0.0","38.8","28.86","5.37","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","21.49","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"19APELJU","Apple & elderflower juice (e.g. Copella), 100% juice","Apple & elderflower juice (e.g. Copella), 100% juice","UK_V2_2022","UK_NDB_1","11537","45R","40.0","172.0","87.8","0.0","6.25","0.1","10.4","0.0","0.0","0.0","10.4","10.4","0.0","2.6","6.2","1.6","0.0","0.0","0.0","0.1","0.02","0.01","0.01","0.04","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.01","0.01","0.1","0.0","0.1","63.0","0.0","0.0","0.0","4.0","0.0","1.0","2.0","109.0","7.0","5.0","6.0","0.1","0.0","0.1","0.0","0.0","3.0","0.0","0.0","0.0","0.0","0.5","0.0","0.0","9.8","0.0","0.0","0.0","0.0","10.3","0.0","99.01","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"19APGRMI","Toddler/ growing up milk (2-3 years), e.g. Aptamil 4, Cow & Gate 4","Toddler/ growing up milk (2-3 years), e.g. Aptamil 4, Cow & Gate 4","UK_V2_2022","UK_NDB_1","11050","13A","48.0","203.0","85.6","0.2","6.38","1.3","6.9","0.7","0.0","0.8","6.1","0.6","5.5","0.0","0.3","0.0","0.3","5.5","0.0","1.9","0.4","1.1","0.04","0.26","0.0","0.0","62.0","0.0","0.0","0.0","0.0","62.0","2.9","0.04","0.23","0.2","0.0","0.2","15.0","1.0","0.1","0.4","9.0","0.6","1.0","20.0","117.0","120.0","10.0","93.0","1.2","0.0","1.2","0.06","0.9","39.0","20.0","0.01","2.0","0.9","0.0","6.1","0.0","0.0","0.0","0.0","0.0","0.0","6.1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
