Total dairy,mean_RR,upper_RR,lower_RR
3.829787234,0.99869281,0.999673203,0.99869281
35.74468085,0.98627451,0.997385621,0.976470588
65.53191489,0.975816993,0.995098039,0.956535948
88.93617021,0.966666667,0.993464052,0.941503268
110.212766,0.958823529,0.99248366,0.926797386
146.3829787,0.945751634,0.990196078,0.902941176
180.4255319,0.933986928,0.987908497,0.880392157
201.7021277,0.925490196,0.98627451,0.865686275
242.1276596,0.912418301,0.983986928,0.843464052
274.0425532,0.905228758,0.982352941,0.82875817
303.8297872,0.899673203,0.980065359,0.818954248
350.6382979,0.892810458,0.977124183,0.808496732
410.212766,0.888888889,0.974509804,0.802941176
512.3404255,0.88496732,0.97124183,0.8
603.8297872,0.881699346,0.969281046,0.796732026
674.0425532,0.880392157,0.967973856,0.79379085
744.2553191,0.878431373,0.967647059,0.790849673
848.5106383,0.875816993,0.967647059,0.784640523
920.8510638,0.873856209,0.968300654,0.779411765
980.4255319,0.871895425,0.969607843,0.775163399
1065.531915,0.869281046,0.970915033,0.768954248
1135.744681,0.867973856,0.97254902,0.763398693
1218.723404,0.86503268,0.975163399,0.756862745
1299.574468,0.863398693,0.978104575,0.748366013
1395.319149,0.860130719,0.982352941,0.738888889
1461.276596,0.858496732,0.985947712,0.732352941
1529.361702,0.85620915,0.987908497,0.725816993
1631.489362,0.853594771,0.992156863,0.715359477
1720.851064,0.850980392,0.996405229,0.70620915
